representative protein;other proteins in group;description;sequence length;monoisotopic mass;% of protein sequence covered by peptides;peptides count;intensity in 2019-019-04 HYE Mix A 1;intensity in 2019-019-04 HYE Mix A 2;intensity in 2019-019-04 HYE Mix A 3;intensity in 2019-019-05 HYE Mix B 1;intensity in 2019-019-05 HYE Mix B 2;intensity in 2019-019-05 HYE Mix B 3
NUP37_HUMAN;;Nucleoporin Nup37 OS=Homo sapiens OX=9606 GN=NUP37 PE=1 SV=1;326;36684.039;9.51;2;39671;39254;43517;34973;34278;32788
C8Z5A5_YEAS8;;RuvB-like helicase OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1D0_4577g PE=3 SV=1;463;50435.933;9.5;2;27537;24576;27749;11279;11738;5754
DDX50_HUMAN;;ATP-dependent RNA helicase DDX50 OS=Homo sapiens OX=9606 GN=DDX50 PE=1 SV=1;737;82514.051;9.5;5;26245;20735;9079;28079;23683;25719
ABDH_ECOLI;;Gamma-aminobutyraldehyde dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=prr PE=1 SV=1;474;50797.917;9.49;3;11981;5368;9675;54899;52497;50159
PO210_HUMAN;;Nuclear pore membrane glycoprotein 210 OS=Homo sapiens OX=9606 GN=NUP210 PE=1 SV=3;1887;204982.713;9.49;11;242575;240418;192811;207656;174188;214282
C8Z848_YEAS8;;Spt16p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1G1_0661g PE=4 SV=1;1035;118580.818;9.47;6;60392;60267;57882;19984;30450;26573
POTF_ECOLI;;Putrescine-binding periplasmic protein OS=Escherichia coli (strain K12) OX=83333 GN=potF PE=1 SV=3;370;40813.993;9.46;2;0;0;0;19130;45876;40862
VTA1_HUMAN;;Vacuolar protein sorting-associated protein VTA1 homolog OS=Homo sapiens OX=9606 GN=VTA1 PE=1 SV=1;307;33857.893;9.45;2;80150;100832;87132;15822;13932;17329
RDH11_HUMAN;;Retinol dehydrogenase 11 OS=Homo sapiens OX=9606 GN=RDH11 PE=1 SV=2;318;35363.445;9.43;2;62032;60368;52043;41375;7526;41226
NUP50_HUMAN;;Nuclear pore complex protein Nup50 OS=Homo sapiens OX=9606 GN=NUP50 PE=1 SV=2;468;50113.164;9.4;3;32717;35787;33858;22719;27246;36582
RPOS_ECOLI;;RNA polymerase sigma factor RpoS OS=Escherichia coli (strain K12) OX=83333 GN=rpoS PE=1 SV=3;330;37948.738;9.39;2;6020;3193;3550;23945;28727;26032
P3H3_HUMAN;;Prolyl 3-hydroxylase 3 OS=Homo sapiens OX=9606 GN=P3H3 PE=1 SV=1;736;81785.631;9.38;4;77607;75947;65737;60872;55559;59793
CAN1_HUMAN;;Calpain-1 catalytic subunit OS=Homo sapiens OX=9606 GN=CAPN1 PE=1 SV=1;714;81838.188;9.38;5;54807;63606;67059;80279;29145;85318
THUM1_HUMAN;;THUMP domain-containing protein 1 OS=Homo sapiens OX=9606 GN=THUMPD1 PE=1 SV=2;353;39290.803;9.35;2;48986;51010;48789;51213;57512;54914
SUN2_HUMAN;;SUN domain-containing protein 2 OS=Homo sapiens OX=9606 GN=SUN2 PE=1 SV=3;717;80261.56;9.34;4;30490;30874;29148;18096;26859;28467
POTEJ_HUMAN;;POTE ankyrin domain family member J OS=Homo sapiens OX=9606 GN=POTEJ PE=3 SV=1;1038;117314.715;9.34;9;10005;16728;18315;7114;3058;6514
IF2P_HUMAN;;Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=4;1220;138741.661;9.34;7;110912;83585;93128;102051;99633;93382
IL18_HUMAN;;Interleukin-18 OS=Homo sapiens OX=9606 GN=IL18 PE=1 SV=1;193;22311.793;9.33;2;17982;16756;17965;16928;17776;14279
PGM2_HUMAN;;Phosphoglucomutase-2 OS=Homo sapiens OX=9606 GN=PGM2 PE=1 SV=4;612;68240.395;9.31;3;47933;45990;45376;47821;45994;53590
NCKP1_HUMAN;;Nck-associated protein 1 OS=Homo sapiens OX=9606 GN=NCKAP1 PE=1 SV=1;1128;128706.521;9.31;5;72053;89978;68392;85544;77721;75710
CD44_HUMAN;;CD44 antigen OS=Homo sapiens OX=9606 GN=CD44 PE=1 SV=3;742;81487.429;9.3;6;472995;480803;509117;421418;404465;476918
C8Z3L4_YEAS8;;Tpd3p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1A20_0694g PE=4 SV=1;635;70863.037;9.29;4;35580;35034;104676;2641;16649;3128
GLGC_ECOLI;;Glucose-1-phosphate adenylyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=glgC PE=1 SV=2;431;48666.492;9.28;3;5321;6510;7476;46752;39895;41270
TYSY_HUMAN;;Thymidylate synthase OS=Homo sapiens OX=9606 GN=TYMS PE=1 SV=3;313;35693.16;9.27;2;89250;96087;96620;89904;89160;101650
TRM1_HUMAN;;tRNA (guanine(26)-N(2))-dimethyltransferase OS=Homo sapiens OX=9606 GN=TRMT1 PE=1 SV=1;659;72188.424;9.26;3;45222;44156;45173;49846;47856;52179
AT2B1_HUMAN;;Plasma membrane calcium-transporting ATPase 1 OS=Homo sapiens OX=9606 GN=ATP2B1 PE=1 SV=4;1220;134599.889;9.26;8;222070;242151;151652;222700;214541;222856
CSTFT_HUMAN;;Cleavage stimulation factor subunit 2 tau variant OS=Homo sapiens OX=9606 GN=CSTF2T PE=1 SV=1;616;64395.514;9.25;3;30226;28740;28861;27469;23502;24520
NOL6_HUMAN;;Nucleolar protein 6 OS=Homo sapiens OX=9606 GN=NOL6 PE=1 SV=2;1146;127512.884;9.25;6;85985;90597;90258;86541;87066;89326
C8ZC17_YEAS8;;Aminopeptidase OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1K5_0694g PE=3 SV=1;952;107717.015;9.24;7;132681;127677;135490;40364;46024;45124
SCMC1_HUMAN;;Calcium-binding mitochondrial carrier protein SCaMC-1 OS=Homo sapiens OX=9606 GN=SLC25A24 PE=1 SV=2;477;53320.343;9.22;3;64013;58984;60183;55926;61762;59422
ROCK2_HUMAN;;Rho-associated protein kinase 2 OS=Homo sapiens OX=9606 GN=ROCK2 PE=1 SV=4;1388;160798.825;9.22;10;118806;72590;119292;95984;76048;85570
MP2K3_HUMAN;;Dual specificity mitogen-activated protein kinase kinase 3 OS=Homo sapiens OX=9606 GN=MAP2K3 PE=1 SV=2;347;39292.93;9.22;2;15073;14846;14767;16202;14233;14752
C8ZJ94_YEAS8;;Spe3p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1P2_3906g PE=3 SV=1;293;33302.852;9.22;2;51425;51946;53065;17971;0;17489
TNPO3_HUMAN;;Transportin-3 OS=Homo sapiens OX=9606 GN=TNPO3 PE=1 SV=3;923;104136.074;9.21;6;142038;57223;54078;45105;144664;46904
BACH_HUMAN;;Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens OX=9606 GN=ACOT7 PE=1 SV=3;380;41769.319;9.21;3;33986;27382;38487;90952;46335;86419
SEC63_HUMAN;;Translocation protein SEC63 homolog OS=Homo sapiens OX=9606 GN=SEC63 PE=1 SV=2;760;87941.603;9.21;4;52169;80980;80087;71608;77568;84907
C8ZC29_YEAS8;;Rpt1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1K5_0837g PE=3 SV=1;467;51964.443;9.21;3;66166;0;66276;26483;26842;24251
GSLG1_HUMAN;;Golgi apparatus protein 1 OS=Homo sapiens OX=9606 GN=GLG1 PE=1 SV=2;1179;134463.601;9.16;7;100799;91914;96741;109451;79528;111381
HEAT1_HUMAN;;HEAT repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=HEATR1 PE=1 SV=3;2144;242215.315;9.14;12;191306;188115;168721;190341;192441;197345
CSK22_HUMAN;;Casein kinase II subunit alpha' OS=Homo sapiens OX=9606 GN=CSNK2A2 PE=1 SV=1;350;41187.125;9.14;2;52851;49187;55586;47516;49665;48879
PMBA_ECOLI;;Metalloprotease PmbA OS=Escherichia coli (strain K12) OX=83333 GN=pmbA PE=1 SV=1;450;48339.405;9.11;3;6671;15402;12518;72417;71532;76875
ERP44_HUMAN;;Endoplasmic reticulum resident protein 44 OS=Homo sapiens OX=9606 GN=ERP44 PE=1 SV=1;406;46941.398;9.11;3;100700;112336;102179;84617;104637;93671
COA7_HUMAN;;Cytochrome c oxidase assembly factor 7 OS=Homo sapiens OX=9606 GN=COA7 PE=1 SV=2;231;25692.056;9.09;2;17217;20943;24404;26294;19765;21199
FAF1_HUMAN;;FAS-associated factor 1 OS=Homo sapiens OX=9606 GN=FAF1 PE=1 SV=2;650;73907.58;9.08;4;97298;91402;84205;99962;105347;96703
TRIPB_HUMAN;;Thyroid receptor-interacting protein 11 OS=Homo sapiens OX=9606 GN=TRIP11 PE=1 SV=3;1979;227446.583;9.04;14;1122886;1171462;1144007;1063752;1118259;1080707
2ABB_HUMAN;;Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B beta isoform OS=Homo sapiens OX=9606 GN=PPP2R2B PE=1 SV=1;443;51677.633;9.03;3;24328;30269;27950;0;0;0
DDX23_HUMAN;;Probable ATP-dependent RNA helicase DDX23 OS=Homo sapiens OX=9606 GN=DDX23 PE=1 SV=3;820;95523.894;9.02;6;111169;99886;110582;108509;108206;113657
RBM25_HUMAN;;RNA-binding protein 25 OS=Homo sapiens OX=9606 GN=RBM25 PE=1 SV=3;843;100124.415;9.02;6;75276;135713;99868;118090;86522;116738
GCR_HUMAN;;Glucocorticoid receptor OS=Homo sapiens OX=9606 GN=NR3C1 PE=1 SV=1;777;85604.587;9.01;4;77108;77598;75161;73821;74929;79345
CCNB1_HUMAN;;G2/mitotic-specific cyclin-B1 OS=Homo sapiens OX=9606 GN=CCNB1 PE=1 SV=1;433;48306.052;9.01;2;24012;26112;25482;30148;30546;25678
RT35_HUMAN;;28S ribosomal protein S35, mitochondrial OS=Homo sapiens OX=9606 GN=MRPS35 PE=1 SV=1;323;36821.087;8.98;3;73846;74689;81191;73194;80766;80107
DDX20_HUMAN;;Probable ATP-dependent RNA helicase DDX20 OS=Homo sapiens OX=9606 GN=DDX20 PE=1 SV=2;824;92182.505;8.98;4;40489;40624;37363;35627;38984;38417
ZC3HE_HUMAN;;Zinc finger CCCH domain-containing protein 14 OS=Homo sapiens OX=9606 GN=ZC3H14 PE=1 SV=1;736;82823.33;8.97;4;69738;75373;68679;72568;72430;55719
RPR1A_HUMAN;;Regulation of nuclear pre-mRNA domain-containing protein 1A OS=Homo sapiens OX=9606 GN=RPRD1A PE=1 SV=1;312;35697.568;8.97;2;28817;28782;28700;18234;26130;21767
RALYL_HUMAN;;RNA-binding Raly-like protein OS=Homo sapiens OX=9606 GN=RALYL PE=1 SV=2;291;32310.565;8.93;3;81261;86893;83109;79726;86744;80807
SC24C_HUMAN;;Protein transport protein Sec24C OS=Homo sapiens OX=9606 GN=SEC24C PE=1 SV=3;1094;118249.151;8.87;6;124365;120031;109889;118568;104370;122330
C8ZCZ9_YEAS8;;Aspartate aminotransferase OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1L10_0991g PE=4 SV=1;418;45952.609;8.85;3;104855;127292;123965;56799;38079;55890
VATE1_HUMAN;;V-type proton ATPase subunit E 1 OS=Homo sapiens OX=9606 GN=ATP6V1E1 PE=1 SV=1;226;26128.76;8.85;2;40211;51260;46471;48606;32036;43508
TOE1_HUMAN;;Target of EGR1 protein 1 OS=Homo sapiens OX=9606 GN=TOE1 PE=1 SV=1;510;56511.987;8.82;2;27452;28433;26485;23326;21042;22840
ACRA_ECOLI;;Multidrug efflux pump subunit AcrA OS=Escherichia coli (strain K12) OX=83333 GN=acrA PE=1 SV=1;397;42171.088;8.82;2;6859;5392;6580;49555;30286;31631
C8Z6Y9_YEAS8;;Glc3p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1E8_0793g PE=4 SV=1;704;81038.182;8.81;4;34508;34492;64150;17547;16191;16274
COX2_HUMAN;;Cytochrome c oxidase subunit 2 OS=Homo sapiens OX=9606 GN=MT-CO2 PE=1 SV=1;227;25548.211;8.81;2;81876;71120;70191;84222;72307;76518
C8ZAJ3_YEAS8;;Rhr2p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1I12_1376g PE=4 SV=1;250;27929.311;8.8;2;82468;82073;83483;24244;23282;23445
C8Z768_YEAS8;;Hor2p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1E8_1739g PE=4 SV=1;250;27796.296;8.8;2;97078;97047;85774;216553;234650;225143
RT29_HUMAN;;28S ribosomal protein S29, mitochondrial OS=Homo sapiens OX=9606 GN=DAP3 PE=1 SV=1;398;45537.64;8.79;2;64396;67562;69131;54122;57368;54647
PUTA_ECOLI;;Bifunctional protein PutA OS=Escherichia coli (strain K12) OX=83333 GN=putA PE=1 SV=3;1320;143725.411;8.79;7;0;2313;2318;134466;136638;115162
RECQ1_HUMAN;;ATP-dependent DNA helicase Q1 OS=Homo sapiens OX=9606 GN=RECQL PE=1 SV=3;649;73409.994;8.78;5;91127;100510;100328;95759;93121;94571
SYF1_HUMAN;;Pre-mRNA-splicing factor SYF1 OS=Homo sapiens OX=9606 GN=XAB2 PE=1 SV=2;855;99946.44;8.77;4;35994;37713;37197;30163;33419;38485
T106B_HUMAN;;Transmembrane protein 106B OS=Homo sapiens OX=9606 GN=TMEM106B PE=1 SV=2;274;31107.599;8.76;2;11457;10552;12023;12460;11864;12832
SMCE1_HUMAN;;SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 OS=Homo sapiens OX=9606 GN=SMARCE1 PE=1 SV=2;411;46620.587;8.76;2;32377;30780;31842;37802;34161;35461
PLRG1_HUMAN;;Pleiotropic regulator 1 OS=Homo sapiens OX=9606 GN=PLRG1 PE=1 SV=1;514;57158.102;8.75;2;35001;38660;37441;43499;41487;40332
DPYL1_HUMAN;;Dihydropyrimidinase-related protein 1 OS=Homo sapiens OX=9606 GN=CRMP1 PE=1 SV=1;572;62144.69;8.74;3;2601;2980;5012;0;0;0
ILVE_ECOLI;;Branched-chain-amino-acid aminotransferase OS=Escherichia coli (strain K12) OX=83333 GN=ilvE PE=1 SV=2;309;34072.12;8.74;2;23443;0;0;101472;90966;103980
DDX24_HUMAN;;ATP-dependent RNA helicase DDX24 OS=Homo sapiens OX=9606 GN=DDX24 PE=1 SV=1;859;96271.458;8.73;6;73133;67509;65609;114429;145885;139611
UBP7_HUMAN;;Ubiquitin carboxyl-terminal hydrolase 7 OS=Homo sapiens OX=9606 GN=USP7 PE=1 SV=2;1102;128220.333;8.71;6;104952;144777;150591;138092;133755;136250
MBOA7_HUMAN;;Lysophospholipid acyltransferase 7 OS=Homo sapiens OX=9606 GN=MBOAT7 PE=1 SV=2;472;52730.264;8.69;3;113245;100217;111133;107746;99364;98872
D3UED5_YEAS8;;ATP synthase subunit gamma OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1B15_1706g PE=3 SV=1;311;34328.913;8.68;2;122711;120511;115824;22633;61471;26531
MTNA_HUMAN;;Methylthioribose-1-phosphate isomerase OS=Homo sapiens OX=9606 GN=MRI1 PE=1 SV=1;369;39125.351;8.67;2;82296;76269;79380;79126;71882;77220
FRDA_ECOLI;;Fumarate reductase flavoprotein subunit OS=Escherichia coli (strain K12) OX=83333 GN=frdA PE=1 SV=3;602;65929.661;8.64;3;5986;10283;10019;80156;84492;68254
SYLM_HUMAN;;Probable leucine--tRNA ligase, mitochondrial OS=Homo sapiens OX=9606 GN=LARS2 PE=1 SV=2;903;101910.995;8.64;6;55277;53874;56283;40044;41957;53316
DHX30_HUMAN;;ATP-dependent RNA helicase DHX30 OS=Homo sapiens OX=9606 GN=DHX30 PE=1 SV=1;1194;133854.502;8.63;8;139458;137559;132534;128897;136485;128740
NAGC_ECOLI;;N-acetylglucosamine repressor OS=Escherichia coli (strain K12) OX=83333 GN=nagC PE=2 SV=1;406;44513.572;8.62;2;4391;5082;4660;20232;21250;22987
GAPD1_HUMAN;;GTPase-activating protein and VPS9 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=GAPVD1 PE=1 SV=2;1478;164876.497;8.59;8;123613;143364;125308;101451;102388;107551
AT1B1_HUMAN;;Sodium/potassium-transporting ATPase subunit beta-1 OS=Homo sapiens OX=9606 GN=ATP1B1 PE=1 SV=1;303;35038.866;8.58;2;44235;42672;47399;45738;36545;41045
WDR74_HUMAN;;WD repeat-containing protein 74 OS=Homo sapiens OX=9606 GN=WDR74 PE=1 SV=1;385;42414.664;8.57;2;47403;56142;52871;45211;59388;49678
FA50A_HUMAN;;Protein FAM50A OS=Homo sapiens OX=9606 GN=FAM50A PE=1 SV=2;339;40216.461;8.55;2;36478;58971;52863;52254;59667;53995
GEMI5_HUMAN;;Gem-associated protein 5 OS=Homo sapiens OX=9606 GN=GEMIN5 PE=1 SV=3;1508;168482.85;8.55;9;193880;139802;163941;151417;168320;159437
EIS1_YEAS8;;Eisosome protein 1 OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EIS1 PE=3 SV=1;843;93231.346;8.54;6;152205;145742;101350;34694;23778;23439
PDLI1_HUMAN;;PDZ and LIM domain protein 1 OS=Homo sapiens OX=9606 GN=PDLIM1 PE=1 SV=4;329;36049.042;8.51;2;31463;38539;34579;38521;31853;37175
TMM33_HUMAN;;Transmembrane protein 33 OS=Homo sapiens OX=9606 GN=TMEM33 PE=1 SV=2;247;27959.812;8.5;2;52153;63191;72496;52262;43431;63128
NU160_HUMAN;;Nuclear pore complex protein Nup160 OS=Homo sapiens OX=9606 GN=NUP160 PE=1 SV=3;1436;162016.951;8.5;8;75264;82537;116783;102047;107326;99395
TSYL1_HUMAN;;Testis-specific Y-encoded-like protein 1 OS=Homo sapiens OX=9606 GN=TSPYL1 PE=1 SV=3;437;49161.843;8.47;2;41938;45145;42374;10658;45690;50728
OPA1_HUMAN;;Dynamin-like 120 kDa protein, mitochondrial OS=Homo sapiens OX=9606 GN=OPA1 PE=1 SV=3;960;111560.813;8.44;5;82471;115137;104486;94112;100005;103907
C8Z9D6_YEAS8;;Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1G1_5798g PE=3 SV=1;427;46880.177;8.43;2;34050;35405;29420;12270;15627;11437
UBA5_HUMAN;;Ubiquitin-like modifier-activating enzyme 5 OS=Homo sapiens OX=9606 GN=UBA5 PE=1 SV=1;404;44834.331;8.42;2;46114;47542;40557;24037;23237;20174
C8Z5A3_YEAS8;;Cct6p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1D0_4555g PE=3 SV=1;546;59886.311;8.42;2;33757;32871;34406;13313;12573;12429
TIM44_HUMAN;;Mitochondrial import inner membrane translocase subunit TIM44 OS=Homo sapiens OX=9606 GN=TIMM44 PE=1 SV=2;452;51323.454;8.41;3;84892;92878;88901;85721;73981;75213
KPRB_HUMAN;;Phosphoribosyl pyrophosphate synthase-associated protein 2 OS=Homo sapiens OX=9606 GN=PRPSAP2 PE=1 SV=1;369;40899.356;8.4;2;46548;46673;44928;43211;49216;45225
RSF1_HUMAN;;Remodeling and spacing factor 1 OS=Homo sapiens OX=9606 GN=RSF1 PE=1 SV=2;1441;163720.155;8.4;7;63853;46444;50626;64751;53653;64951
C8ZJ66_YEAS8;;Tif5p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1P2_3598g PE=4 SV=1;405;45232.837;8.4;4;60134;78336;81975;47520;55423;55617
NOC3L_HUMAN;;Nucleolar complex protein 3 homolog OS=Homo sapiens OX=9606 GN=NOC3L PE=1 SV=1;800;92489.569;8.38;4;61286;40899;65759;56127;49545;73253
CD97_HUMAN;;CD97 antigen OS=Homo sapiens OX=9606 GN=CD97 PE=1 SV=4;835;91809.12;8.38;4;118185;119528;118161;93460;101102;105923
NU214_HUMAN;;Nuclear pore complex protein Nup214 OS=Homo sapiens OX=9606 GN=NUP214 PE=1 SV=2;2090;213488.252;8.37;11;138524;127309;132916;108310;138027;95248
C8Z925_YEAS8;;Phb1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1G1_4500g PE=4 SV=1;287;31407.762;8.36;2;51871;40243;43067;16201;3914;18844
HPBP1_HUMAN;;Hsp70-binding protein 1 OS=Homo sapiens OX=9606 GN=HSPBP1 PE=1 SV=2;359;39277.483;8.36;2;44303;45634;50754;60525;50365;63651
ARK72_HUMAN;;Aflatoxin B1 aldehyde reductase member 2 OS=Homo sapiens OX=9606 GN=AKR7A2 PE=1 SV=3;359;39563.705;8.36;2;47093;51094;33189;38116;43903;41908
CCAR1_HUMAN;;Cell division cycle and apoptosis regulator protein 1 OS=Homo sapiens OX=9606 GN=CCAR1 PE=1 SV=2;1150;132739.079;8.35;6;185275;180761;168145;178219;177130;178494
C8ZHB0_YEAS8;;Proteasome endopeptidase complex OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1O4_6095g PE=3 SV=1;288;31516.687;8.33;2;164825;155630;144026;69899;64473;70234
UBR4_HUMAN;;E3 ubiquitin-protein ligase UBR4 OS=Homo sapiens OX=9606 GN=UBR4 PE=1 SV=1;5183;573476.451;8.33;23;170769;165955;179546;181771;164766;172401
PELO_HUMAN;;Protein pelota homolog OS=Homo sapiens OX=9606 GN=PELO PE=1 SV=2;385;43332.019;8.31;2;25532;25303;23411;21950;20667;20357
CND3_HUMAN;;Condensin complex subunit 3 OS=Homo sapiens OX=9606 GN=NCAPG PE=1 SV=1;1015;114262.061;8.28;7;323033;396057;395388;321992;295589;293596
NXN_HUMAN;;Nucleoredoxin OS=Homo sapiens OX=9606 GN=NXN PE=1 SV=2;435;48361.633;8.28;2;24253;27261;24256;21732;24502;25427
C8ZDS7_YEAS8;;Cdc3p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1L7_1772g PE=3 SV=1;520;59975.331;8.27;3;62188;66602;54563;23311;27505;20221
C8ZFG6_YEAS8;;Carboxypeptidase OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1M3_5116g PE=3 SV=1;532;59763.081;8.27;4;211554;224163;246880;100898;98163;106301
DNJB1_HUMAN;;DnaJ homolog subfamily B member 1 OS=Homo sapiens OX=9606 GN=DNAJB1 PE=1 SV=4;340;38020.369;8.24;3;97257;103637;104703;97661;93001;100225
PELP1_HUMAN;;Proline-, glutamic acid- and leucine-rich protein 1 OS=Homo sapiens OX=9606 GN=PELP1 PE=1 SV=2;1130;119624.493;8.23;5;132526;116709;122518;118788;116325;126240
AGAL_HUMAN;;Alpha-galactosidase A OS=Homo sapiens OX=9606 GN=GLA PE=1 SV=1;429;48734.872;8.16;2;54219;58392;54337;55079;58415;61873
RF3_ECOLI;;Peptide chain release factor RF3 OS=Escherichia coli (strain K12) OX=83333 GN=prfC PE=1 SV=2;529;59536.318;8.13;3;0;7576;0;73888;23276;66541
CEBPB_HUMAN;;CCAAT/enhancer-binding protein beta OS=Homo sapiens OX=9606 GN=CEBPB PE=1 SV=2;345;36083.15;8.12;2;43316;39897;40734;39328;44233;39785
RPAP3_HUMAN;;RNA polymerase II-associated protein 3 OS=Homo sapiens OX=9606 GN=RPAP3 PE=1 SV=2;665;75671.903;8.12;4;33619;40118;35753;32299;30257;40205
C8ZEV1_YEAS8;;Glucose-6-phosphate 1-epimerase OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1M3_2696g PE=3 SV=1;297;33934.426;8.08;2;28878;27529;27300;4200;4760;4337
P4HA2_HUMAN;;Prolyl 4-hydroxylase subunit alpha-2 OS=Homo sapiens OX=9606 GN=P4HA2 PE=1 SV=1;535;60863.624;8.04;4;95616;97946;91483;77595;85130;89073
SLK_HUMAN;;STE20-like serine/threonine-protein kinase OS=Homo sapiens OX=9606 GN=SLK PE=1 SV=1;1235;142607.233;8.02;5;45447;47236;33225;47385;54512;47763
D3UEH2_YEAS8;;Eukaryotic translation initiation factor 3 subunit A OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=RPG1 PE=3 SV=1;964;110334.424;7.99;5;95536;98698;99808;37179;33200;37364
IMA5_HUMAN;;Importin subunit alpha-5 OS=Homo sapiens OX=9606 GN=KPNA1 PE=1 SV=3;538;60183.55;7.99;3;27901;22048;24601;21029;20484;19026
MYH14_HUMAN;;Myosin-14 OS=Homo sapiens OX=9606 GN=MYH14 PE=1 SV=2;1995;227731.77;7.97;13;37016;35782;35883;32185;31224;39212
BETB_ECOLI;;NAD/NADP-dependent betaine aldehyde dehydrogenase OS=Escherichia coli (strain K12) OX=83333 GN=betB PE=1 SV=3;490;52877.749;7.96;2;16048;8824;10690;92085;82807;95517
C8ZFL1_YEAS8;;Pub1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1N18_0210g PE=4 SV=1;453;50757.975;7.95;4;146092;137137;131163;58065;61390;61370
PSMG2_HUMAN;;Proteasome assembly chaperone 2 OS=Homo sapiens OX=9606 GN=PSMG2 PE=1 SV=1;264;29377.026;7.95;2;21397;21414;22239;21615;21565;21274
SH24A_HUMAN;;SH2 domain-containing protein 4A OS=Homo sapiens OX=9606 GN=SH2D4A PE=1 SV=1;454;52694.189;7.93;2;14211;12203;14280;14013;15869;15918
C8ZEA4_YEAS8;;Tsl1p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1M3_0386g PE=4 SV=1;1098;122877.508;7.92;6;144236;133599;137076;57084;54024;59841
HYEP_HUMAN;;Epoxide hydrolase 1 OS=Homo sapiens OX=9606 GN=EPHX1 PE=1 SV=1;455;52914.964;7.91;2;38638;42300;47726;42237;34251;38613
AT1B3_HUMAN;;Sodium/potassium-transporting ATPase subunit beta-3 OS=Homo sapiens OX=9606 GN=ATP1B3 PE=1 SV=1;279;31492.094;7.89;2;18171;58968;55934;81596;86879;87841
C8ZF93_YEAS8;;Rrp5p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1M3_4291g PE=4 SV=1;1729;192950.841;7.87;8;178020;146821;134125;131415;130780;144310
STAT1_HUMAN;;Signal transducer and activator of transcription 1-alpha/beta OS=Homo sapiens OX=9606 GN=STAT1 PE=1 SV=2;750;87279.519;7.87;4;145298;122031;137365;100910;113811;108669
C8Z9Q0_YEAS8;;Cdc12p OS=Saccharomyces cerevisiae (strain Lalvin EC1118 / Prise de mousse) OX=643680 GN=EC1118_1H13_0727g PE=3 SV=1;407;46639.242;7.86;2;19101;21557;22681;8865;8715;8551
CND2_HUMAN;;Condensin complex subunit 2 OS=Homo sapiens OX=9606 GN=NCAPH PE=1 SV=3;741;82511.303;7.83;4;109539;99953;70284;79703;112125;80057
